By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Program start.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Budget for Food set to 300.00 $.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Budget for Shoes set to 300.00 $.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Transaction ID 0 -- 300.00 $ deposited successfully.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Transaction ID 1 -- 200.00 $ withdrawn successfully from Food.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info: Saving plan 0 created.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  100.00 $ added successfully to saving plan 0.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Error: You didn't achieve your savings target within the limit time.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info: Saving plan 0 updated successfully.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Good job, You have met your saving target in the 5 days.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info: Saving plan 1 created.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Transaction ID 0 -- 100.00 $ deposited successfully.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info: Saving plan 0 deleted successfully.
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Saving plane 0 deleted 
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Saving plane 1 deleted 
By : Hidaya Mustafa || 2024-08-21 15:08:02 - Info:  Program End.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Program start.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Budget for Food set to 300.00 $.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Budget for Shoes set to 300.00 $.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Transaction ID 0 -- 300.00 $ deposited successfully.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Transaction ID 1 -- 200.00 $ withdrawn successfully from Food.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plan 0 created.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  100.00 $ added successfully to saving plan 0.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Error: You didn't achieve your savings target within the limit time.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plan 0 updated successfully.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Good job, You have met your saving target in the 5 days.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plan 1 created.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Transaction ID 0 -- 100.00 $ deposited successfully.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plan 0 deleted successfully.
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plane 0 deleted 
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Saving plane 1 deleted 
By : Hidaya Mustafa || 2024-08-22 10:51:44 - Info:  Program End.
